src_ip,dst_ip,src_port,dst_port,packet_size,protocol_type,timestamp
203.0.113.2,10.0.0.1,57394,80,91,UDP,0.03877276764920408
203.0.113.9,10.0.0.1,31721,80,122,UDP,0.0398787268215659
203.0.113.1,10.0.0.1,2961,80,49,UDP,0.04149229370358813
203.0.113.2,10.0.0.1,37519,80,62,UDP,0.04246367215534501
203.0.113.1,10.0.0.1,60221,80,114,UDP,0.04337046388265688
203.0.113.7,10.0.0.1,65032,80,37,UDP,0.04445321733105384
203.0.113.4,10.0.0.1,43070,80,32,UDP,0.045613138401005796
203.0.113.2,10.0.0.1,62615,80,105,UDP,0.046320689923692655
203.0.113.8,10.0.0.1,57294,80,104,UDP,0.04721949900786717
203.0.113.3,10.0.0.1,37172,80,56,UDP,0.048882301886358635
203.0.113.5,10.0.0.1,32817,80,85,UDP,0.0494544364260088
203.0.113.9,10.0.0.1,17966,80,109,UDP,0.049959423044097735
203.0.113.5,10.0.0.1,12385,80,112,UDP,0.0516408844786075
203.0.113.9,10.0.0.1,63057,80,80,UDP,0.05264486527414808
203.0.113.6,10.0.0.1,53145,80,63,UDP,0.05402628828895613
203.0.113.4,10.0.0.1,32384,80,41,UDP,0.055526547402332566
203.0.113.4,10.0.0.1,38890,80,95,UDP,0.057481682591087956
203.0.113.5,10.0.0.1,45482,80,99,UDP,0.058718919767690676
203.0.113.6,10.0.0.1,37813,80,38,UDP,0.05955339543736741
203.0.113.9,10.0.0.1,57763,80,89,UDP,0.060457889269855056
203.0.113.3,10.0.0.1,21726,80,73,UDP,0.061008880396236795
203.0.113.7,10.0.0.1,54118,80,71,UDP,0.06157314877016713
203.0.113.5,10.0.0.1,25962,80,34,UDP,0.0626965749550402
203.0.113.7,10.0.0.1,21689,80,48,UDP,0.06334118046916085
203.0.113.6,10.0.0.1,11055,80,122,UDP,0.0644840902583107
203.0.113.2,10.0.0.1,10819,80,100,UDP,0.06529495261316287
203.0.113.3,10.0.0.1,12968,80,126,UDP,0.06669157754872274
203.0.113.4,10.0.0.1,30950,80,72,UDP,0.06738517334235776
203.0.113.9,10.0.0.1,53438,80,33,UDP,0.06788648338115999
203.0.113.7,10.0.0.1,43805,80,100,UDP,0.069044875539821
203.0.113.8,10.0.0.1,15261,80,63,UDP,0.07030047410346416
203.0.113.2,10.0.0.1,10714,80,80,UDP,0.07155170480324256
203.0.113.4,10.0.0.1,65310,80,122,UDP,0.0723042171362525
203.0.113.9,10.0.0.1,44859,80,98,UDP,0.07364165652873979
203.0.113.6,10.0.0.1,29333,80,43,UDP,0.07413834618943638
203.0.113.7,10.0.0.1,29392,80,63,UDP,0.07496921332917017
203.0.113.7,10.0.0.1,61538,80,79,UDP,0.07633794282630131
203.0.113.3,10.0.0.1,25065,80,65,UDP,0.0773914541764247
203.0.113.9,10.0.0.1,4136,80,100,UDP,0.07822961173148342
203.0.113.3,10.0.0.1,24032,80,89,UDP,0.07972878210626873
203.0.113.4,10.0.0.1,14239,80,119,UDP,0.0806570614258355
203.0.113.1,10.0.0.1,62078,80,88,UDP,0.08179916243987745
203.0.113.7,10.0.0.1,20416,80,59,UDP,0.08251497369491302
203.0.113.3,10.0.0.1,53056,80,47,UDP,0.08438478359903329
203.0.113.8,10.0.0.1,42290,80,86,UDP,0.08588314466164751
203.0.113.6,10.0.0.1,4697,80,75,UDP,0.08598314466164751
203.0.113.4,10.0.0.1,59005,80,119,UDP,0.08687114974676052
203.0.113.1,10.0.0.1,16024,80,93,UDP,0.08774649252415823
203.0.113.3,10.0.0.1,19905,80,34,UDP,0.08826014542938389
203.0.113.6,10.0.0.1,13903,80,46,UDP,0.0896935674421277
203.0.113.4,10.0.0.1,56223,80,59,UDP,0.09044213497684536
203.0.113.1,10.0.0.1,41323,80,37,UDP,0.09101594753496434
203.0.113.6,10.0.0.1,63621,80,37,UDP,0.09269211439396154
203.0.113.2,10.0.0.1,7916,80,90,UDP,0.09384694614380548
203.0.113.9,10.0.0.1,31826,80,70,UDP,0.09466747873182721
203.0.113.4,10.0.0.1,3835,80,120,UDP,0.09634439586097115
203.0.113.8,10.0.0.1,20046,80,108,UDP,0.09681823854812306
203.0.113.5,10.0.0.1,38958,80,71,UDP,0.09798179658650563
203.0.113.7,10.0.0.1,27876,80,43,UDP,0.09830529373961544
203.0.113.6,10.0.0.1,20494,80,40,UDP,0.09881072473591727
203.0.113.8,10.0.0.1,16557,80,35,UDP,0.099078408555467
203.0.113.4,10.0.0.1,25395,80,106,UDP,0.1010372226328086
203.0.113.7,10.0.0.1,2007,80,42,UDP,0.10157890144984061
203.0.113.8,10.0.0.1,2716,80,35,UDP,0.1021725714851378
203.0.113.6,10.0.0.1,5556,80,123,UDP,0.10332893237702645
203.0.113.5,10.0.0.1,40235,80,69,UDP,0.10417128672420169
203.0.113.4,10.0.0.1,14771,80,102,UDP,0.10442922537822302
203.0.113.1,10.0.0.1,58379,80,118,UDP,0.10549233119081067
203.0.113.5,10.0.0.1,39440,80,126,UDP,0.10654943909292207
203.0.113.7,10.0.0.1,16183,80,114,UDP,0.10720723240494784
203.0.113.6,10.0.0.1,31477,80,50,UDP,0.10886378044402015
203.0.113.3,10.0.0.1,31446,80,99,UDP,0.10956689520172203
203.0.113.2,10.0.0.1,7882,80,55,UDP,0.11053984555727574
203.0.113.3,10.0.0.1,38991,80,127,UDP,0.11096343579276803
203.0.113.8,10.0.0.1,16700,80,48,UDP,0.11252400671809154
203.0.113.8,10.0.0.1,30086,80,92,UDP,0.114514201162288
203.0.113.5,10.0.0.1,45914,80,41,UDP,0.11601298254814953
203.0.113.9,10.0.0.1,32474,80,64,UDP,0.11648323016294519
203.0.113.3,10.0.0.1,22406,80,113,UDP,0.11735514786490812
203.0.113.3,10.0.0.1,56235,80,114,UDP,0.11895869050494279
203.0.113.5,10.0.0.1,32162,80,102,UDP,0.12052922704337629
203.0.113.2,10.0.0.1,39600,80,64,UDP,0.12151887318090131
203.0.113.7,10.0.0.1,40528,80,113,UDP,0.12258823274772762
203.0.113.5,10.0.0.1,39845,80,116,UDP,0.12362050928991654
203.0.113.9,10.0.0.1,28514,80,73,UDP,0.12490343121904338
203.0.113.6,10.0.0.1,64552,80,51,UDP,0.12608224133099283
203.0.113.8,10.0.0.1,3245,80,123,UDP,0.12671636714434556
203.0.113.9,10.0.0.1,20760,80,93,UDP,0.12791775034352523
203.0.113.5,10.0.0.1,7717,80,85,UDP,0.1296237503369473
203.0.113.3,10.0.0.1,2383,80,92,UDP,0.13034332469474552
203.0.113.9,10.0.0.1,23263,80,49,UDP,0.13096908391196954
203.0.113.1,10.0.0.1,56449,80,58,UDP,0.13127834206505298
203.0.113.2,10.0.0.1,24190,80,35,UDP,0.13157288398121444
203.0.113.2,10.0.0.1,55541,80,101,UDP,0.13293217872230875
203.0.113.2,10.0.0.1,43731,80,80,UDP,0.13407074758842968
203.0.113.5,10.0.0.1,40509,80,107,UDP,0.13545463857950224
203.0.113.5,10.0.0.1,60135,80,126,UDP,0.1370089515279433
203.0.113.1,10.0.0.1,13756,80,39,UDP,0.1386931950213699
203.0.113.7,10.0.0.1,64672,80,38,UDP,0.14074842629606496
203.0.113.4,10.0.0.1,28712,80,120,UDP,0.14251598686416853
203.0.113.3,10.0.0.1,9883,80,121,UDP,0.14322349179836022
203.0.113.9,10.0.0.1,55799,80,62,UDP,0.1433234917983602
203.0.113.6,10.0.0.1,1110,80,33,UDP,0.14380579145247208
203.0.113.7,10.0.0.1,23472,80,66,UDP,0.14529964968595707
203.0.113.2,10.0.0.1,6530,80,96,UDP,0.14678634970283494
203.0.113.6,10.0.0.1,39515,80,68,UDP,0.14791858665189284
203.0.113.3,10.0.0.1,49586,80,70,UDP,0.14907238247044
203.0.113.2,10.0.0.1,41910,80,60,UDP,0.15012429472072414
203.0.113.9,10.0.0.1,51303,80,73,UDP,0.15117856483354436
203.0.113.8,10.0.0.1,23874,80,95,UDP,0.15198135287245065
203.0.113.8,10.0.0.1,50571,80,46,UDP,0.15338932527933863
203.0.113.3,10.0.0.1,19791,80,50,UDP,0.1551289758569512
203.0.113.2,10.0.0.1,18224,80,45,UDP,0.15545837280331637
203.0.113.5,10.0.0.1,26111,80,64,UDP,0.1563874781603074
203.0.113.9,10.0.0.1,59271,80,79,UDP,0.15681543879759482
203.0.113.6,10.0.0.1,23981,80,49,UDP,0.15837821471653185
203.0.113.5,10.0.0.1,38327,80,91,UDP,0.15962308744950268
203.0.113.1,10.0.0.1,37021,80,55,UDP,0.16010258960958865
203.0.113.5,10.0.0.1,27704,80,72,UDP,0.16020258960958864
203.0.113.4,10.0.0.1,54538,80,104,UDP,0.16070169339306528
203.0.113.2,10.0.0.1,52185,80,119,UDP,0.16126230583175336
203.0.113.7,10.0.0.1,20706,80,49,UDP,0.16194089755091712
203.0.113.1,10.0.0.1,56641,80,86,UDP,0.16381775390025793
203.0.113.2,10.0.0.1,41163,80,117,UDP,0.16530734560423058
203.0.113.9,10.0.0.1,37039,80,126,UDP,0.16643676158595397
203.0.113.1,10.0.0.1,62443,80,111,UDP,0.16739010810090302
203.0.113.9,10.0.0.1,13208,80,113,UDP,0.16802574728563455
203.0.113.1,10.0.0.1,39571,80,57,UDP,0.16897045747054862
203.0.113.6,10.0.0.1,27015,80,111,UDP,0.17010661514668246
203.0.113.4,10.0.0.1,8323,80,118,UDP,0.1715117924821873
203.0.113.2,10.0.0.1,14835,80,125,UDP,0.17358387534640773
203.0.113.7,10.0.0.1,50544,80,107,UDP,0.17500251465110303
203.0.113.1,10.0.0.1,33679,80,32,UDP,0.1759461431954108
203.0.113.2,10.0.0.1,33622,80,35,UDP,0.17716033952176932
203.0.113.8,10.0.0.1,8847,80,120,UDP,0.17728763942203632
203.0.113.3,10.0.0.1,13434,80,77,UDP,0.17786084080264924
203.0.113.8,10.0.0.1,36747,80,59,UDP,0.17902104461418214
203.0.113.8,10.0.0.1,65246,80,113,UDP,0.18011033341108487
203.0.113.4,10.0.0.1,10376,80,114,UDP,0.18148727962728722
203.0.113.3,10.0.0.1,39533,80,36,UDP,0.18293156276620154
203.0.113.1,10.0.0.1,17631,80,99,UDP,0.1832087859400327
203.0.113.4,10.0.0.1,64585,80,87,UDP,0.18425966951087006
203.0.113.9,10.0.0.1,26508,80,122,UDP,0.1847223851161206
203.0.113.1,10.0.0.1,27449,80,99,UDP,0.1860043597481511
203.0.113.8,10.0.0.1,27121,80,93,UDP,0.18765105109400415
203.0.113.7,10.0.0.1,17260,80,122,UDP,0.18865608289367267
203.0.113.3,10.0.0.1,11016,80,41,UDP,0.18978097716305964
203.0.113.2,10.0.0.1,7403,80,86,UDP,0.19109232114931554
203.0.113.8,10.0.0.1,13282,80,102,UDP,0.19258212011681483
203.0.113.2,10.0.0.1,60591,80,35,UDP,0.1935291487426631
203.0.113.1,10.0.0.1,13516,80,34,UDP,0.19468747183180518
203.0.113.1,10.0.0.1,46623,80,90,UDP,0.19535409352519834
203.0.113.2,10.0.0.1,59835,80,47,UDP,0.19644790506213655
203.0.113.7,10.0.0.1,28105,80,75,UDP,0.19692180398102802
203.0.113.1,10.0.0.1,11164,80,65,UDP,0.19847054660428867
203.0.113.3,10.0.0.1,56560,80,70,UDP,0.2002248918947812
203.0.113.5,10.0.0.1,51825,80,78,UDP,0.2016807961172406
203.0.113.9,10.0.0.1,56465,80,96,UDP,0.20229065438203736
203.0.113.6,10.0.0.1,3410,80,115,UDP,0.20345875683469505
203.0.113.2,10.0.0.1,22687,80,68,UDP,0.2048494660957237
203.0.113.5,10.0.0.1,4738,80,61,UDP,0.20593451371185384
203.0.113.8,10.0.0.1,31609,80,120,UDP,0.2076100397612212
203.0.113.9,10.0.0.1,11730,80,127,UDP,0.2089983841572909
203.0.113.9,10.0.0.1,39137,80,70,UDP,0.21048288557935402
203.0.113.2,10.0.0.1,9187,80,42,UDP,0.21160479431829077
203.0.113.3,10.0.0.1,39487,80,63,UDP,0.21243865137107878
203.0.113.3,10.0.0.1,60211,80,118,UDP,0.21299980103613225
203.0.113.3,10.0.0.1,38303,80,127,UDP,0.21451238980411882
203.0.113.6,10.0.0.1,41760,80,119,UDP,0.2149593654444509
203.0.113.3,10.0.0.1,35113,80,128,UDP,0.2165187939844996
203.0.113.3,10.0.0.1,29619,80,119,UDP,0.21700759800728367
203.0.113.7,10.0.0.1,56548,80,101,UDP,0.21782073131214857
203.0.113.4,10.0.0.1,36922,80,84,UDP,0.21859120322767533
203.0.113.2,10.0.0.1,63976,80,81,UDP,0.21952162136847328
203.0.113.7,10.0.0.1,21723,80,112,UDP,0.22134421901489565
203.0.113.4,10.0.0.1,52598,80,39,UDP,0.22223312977650791
203.0.113.2,10.0.0.1,25031,80,53,UDP,0.22383747048384897
203.0.113.4,10.0.0.1,60831,80,72,UDP,0.22515786963239068
203.0.113.4,10.0.0.1,29734,80,94,UDP,0.2269997434354092
203.0.113.8,10.0.0.1,2931,80,116,UDP,0.22800569439864302
203.0.113.8,10.0.0.1,46800,80,110,UDP,0.2281642106123497
203.0.113.9,10.0.0.1,39395,80,91,UDP,0.22905174726805577
203.0.113.8,10.0.0.1,26045,80,48,UDP,0.22983634312332737
203.0.113.4,10.0.0.1,63624,80,90,UDP,0.23037310846981673
203.0.113.9,10.0.0.1,27404,80,53,UDP,0.23203727857705067
203.0.113.2,10.0.0.1,27527,80,60,UDP,0.23314515620565
203.0.113.8,10.0.0.1,35897,80,112,UDP,0.23440896675069092
203.0.113.3,10.0.0.1,5394,80,110,UDP,0.23518449164162541
203.0.113.2,10.0.0.1,10248,80,66,UDP,0.23547539591728714
203.0.113.7,10.0.0.1,55356,80,111,UDP,0.23642363172917588
203.0.113.9,10.0.0.1,37899,80,40,UDP,0.23710198809860766
203.0.113.4,10.0.0.1,15736,80,88,UDP,0.23861294811994052
203.0.113.4,10.0.0.1,55481,80,70,UDP,0.24052526290275705
203.0.113.9,10.0.0.1,17645,80,47,UDP,0.24146683408457317
203.0.113.5,10.0.0.1,59840,80,101,UDP,0.24198566462786858
203.0.113.3,10.0.0.1,11219,80,51,UDP,0.24409301628733618
203.0.113.8,10.0.0.1,53595,80,99,UDP,0.24568645378119575
203.0.113.4,10.0.0.1,14186,80,89,UDP,0.24684851601482327
203.0.113.9,10.0.0.1,26101,80,103,UDP,0.24741849386193135
203.0.113.5,10.0.0.1,27483,80,88,UDP,0.24861076362461845
203.0.113.4,10.0.0.1,6284,80,99,UDP,0.24943362046944803
203.0.113.2,10.0.0.1,61009,80,103,UDP,0.25057452472558717
203.0.113.5,10.0.0.1,63051,80,61,UDP,0.2514094697225048
203.0.113.2,10.0.0.1,23622,80,103,UDP,0.2525607576704235
203.0.113.3,10.0.0.1,19024,80,82,UDP,0.2535867823138233
203.0.113.6,10.0.0.1,57073,80,116,UDP,0.2541632526308948
203.0.113.3,10.0.0.1,63372,80,102,UDP,0.25504540398617714
203.0.113.7,10.0.0.1,52958,80,65,UDP,0.2557039468709254
203.0.113.1,10.0.0.1,27524,80,109,UDP,0.25696845427966014
203.0.113.5,10.0.0.1,24967,80,91,UDP,0.25732831015961116
203.0.113.4,10.0.0.1,29414,80,38,UDP,0.2583474476787809
203.0.113.8,10.0.0.1,16808,80,111,UDP,0.25888953287385436
203.0.113.9,10.0.0.1,38112,80,50,UDP,0.2595835668127311
203.0.113.7,10.0.0.1,52733,80,40,UDP,0.2610062753910426
203.0.113.6,10.0.0.1,23510,80,117,UDP,0.26274180401516345
203.0.113.8,10.0.0.1,34868,80,76,UDP,0.26319492795507576
203.0.113.5,10.0.0.1,55686,80,81,UDP,0.2642991693598013
203.0.113.6,10.0.0.1,46869,80,39,UDP,0.2651615133581493
203.0.113.9,10.0.0.1,1115,80,95,UDP,0.26707386945537653
203.0.113.7,10.0.0.1,46334,80,107,UDP,0.26827002852626913
203.0.113.9,10.0.0.1,36099,80,32,UDP,0.26925722414709136
203.0.113.8,10.0.0.1,22139,80,79,UDP,0.27035557057752213
203.0.113.3,10.0.0.1,23732,80,37,UDP,0.27133202396037304
203.0.113.8,10.0.0.1,9851,80,51,UDP,0.27193343563386835
203.0.113.6,10.0.0.1,54097,80,96,UDP,0.27203343563386834
203.0.113.6,10.0.0.1,57697,80,45,UDP,0.2727069430740306
203.0.113.2,10.0.0.1,52562,80,111,UDP,0.27343140197582616
203.0.113.7,10.0.0.1,49117,80,99,UDP,0.27411902041759395
203.0.113.8,10.0.0.1,34118,80,57,UDP,0.2753515308163479
203.0.113.8,10.0.0.1,3868,80,37,UDP,0.2764742626230924
203.0.113.4,10.0.0.1,7997,80,128,UDP,0.277462904680855
203.0.113.6,10.0.0.1,25553,80,107,UDP,0.27836720817290966
203.0.113.2,10.0.0.1,23315,80,107,UDP,0.27990770096644146
203.0.113.6,10.0.0.1,34797,80,46,UDP,0.28102322134978236
203.0.113.8,10.0.0.1,16273,80,33,UDP,0.28143732659512777
203.0.113.8,10.0.0.1,39438,80,47,UDP,0.2823490951283449
203.0.113.2,10.0.0.1,58279,80,112,UDP,0.2837268572820308
203.0.113.7,10.0.0.1,64858,80,55,UDP,0.2852955522028756
203.0.113.9,10.0.0.1,43385,80,48,UDP,0.28675941684965583
203.0.113.8,10.0.0.1,18537,80,73,UDP,0.2877456130959609
203.0.113.8,10.0.0.1,2204,80,111,UDP,0.2878456130959609
203.0.113.3,10.0.0.1,22222,80,42,UDP,0.28835788464673084
203.0.113.2,10.0.0.1,51652,80,124,UDP,0.28960807167422986
203.0.113.4,10.0.0.1,7691,80,111,UDP,0.2905574328759882
203.0.113.6,10.0.0.1,28930,80,94,UDP,0.29180211240422066
203.0.113.4,10.0.0.1,38730,80,112,UDP,0.2925732987715979
203.0.113.2,10.0.0.1,55714,80,92,UDP,0.2936679188688227
203.0.113.6,10.0.0.1,19001,80,98,UDP,0.29476372511699495
203.0.113.8,10.0.0.1,58481,80,52,UDP,0.29618196354500964
203.0.113.9,10.0.0.1,21386,80,68,UDP,0.2975705322591853
203.0.113.6,10.0.0.1,40458,80,78,UDP,0.29923869055454344
203.0.113.2,10.0.0.1,54014,80,113,UDP,0.30002753373473456
203.0.113.9,10.0.0.1,31673,80,37,UDP,0.30087470362809043
203.0.113.3,10.0.0.1,37695,80,109,UDP,0.3017407040103754
203.0.113.2,10.0.0.1,40637,80,67,UDP,0.30234054793390824
203.0.113.8,10.0.0.1,48395,80,93,UDP,0.3037421619105936
203.0.113.3,10.0.0.1,33105,80,91,UDP,0.3049672208308645
203.0.113.8,10.0.0.1,49612,80,97,UDP,0.30617397740063296
203.0.113.1,10.0.0.1,63732,80,109,UDP,0.30668341393208975
203.0.113.3,10.0.0.1,59395,80,119,UDP,0.30678341393208974
203.0.113.3,10.0.0.1,1566,80,74,UDP,0.3082623931010978
203.0.113.4,10.0.0.1,12866,80,48,UDP,0.30945376753304626
203.0.113.2,10.0.0.1,13789,80,34,UDP,0.3102382703112806
203.0.113.6,10.0.0.1,45653,80,52,UDP,0.3106272774929201
203.0.113.1,10.0.0.1,1311,80,125,UDP,0.31198493760365287
203.0.113.2,10.0.0.1,24018,80,34,UDP,0.3132554534459896
203.0.113.2,10.0.0.1,34920,80,114,UDP,0.3142474266878003
203.0.113.8,10.0.0.1,28044,80,121,UDP,0.3154750096913911
203.0.113.5,10.0.0.1,7966,80,71,UDP,0.3165917974120896
203.0.113.7,10.0.0.1,19475,80,60,UDP,0.3170009109291828
203.0.113.1,10.0.0.1,49238,80,41,UDP,0.31804402443582425
203.0.113.7,10.0.0.1,5184,80,56,UDP,0.31840060668081765
203.0.113.6,10.0.0.1,32757,80,116,UDP,0.31962592566876197
203.0.113.5,10.0.0.1,31145,80,62,UDP,0.3199517339585307
203.0.113.6,10.0.0.1,24280,80,83,UDP,0.3206088924784829
203.0.113.5,10.0.0.1,48178,80,97,UDP,0.32200994192418114
203.0.113.6,10.0.0.1,28163,80,69,UDP,0.32283121951830135
203.0.113.5,10.0.0.1,24839,80,124,UDP,0.3232251242452193
203.0.113.1,10.0.0.1,48778,80,103,UDP,0.3233852292261686
203.0.113.2,10.0.0.1,20709,80,123,UDP,0.32473270699304063
203.0.113.7,10.0.0.1,55492,80,44,UDP,0.3256180019954071
203.0.113.1,10.0.0.1,38832,80,76,UDP,0.3265287467702672
203.0.113.6,10.0.0.1,61933,80,49,UDP,0.3278438818961561
203.0.113.4,10.0.0.1,2006,80,90,UDP,0.3284913214273479
203.0.113.9,10.0.0.1,62001,80,91,UDP,0.3289355559249067
203.0.113.2,10.0.0.1,57389,80,60,UDP,0.32997560757297273
203.0.113.6,10.0.0.1,53642,80,39,UDP,0.33030226186245293
203.0.113.1,10.0.0.1,1783,80,125,UDP,0.33184742614980933
203.0.113.7,10.0.0.1,21717,80,38,UDP,0.33363236604243496
203.0.113.6,10.0.0.1,26497,80,51,UDP,0.3342370300079618
203.0.113.7,10.0.0.1,20456,80,32,UDP,0.33499759489284686
203.0.113.4,10.0.0.1,9305,80,104,UDP,0.3364137841148757
203.0.113.8,10.0.0.1,10330,80,98,UDP,0.3372786800356407
203.0.113.2,10.0.0.1,24595,80,108,UDP,0.3382462153433497
203.0.113.3,10.0.0.1,40144,80,103,UDP,0.33905497937311285
203.0.113.8,10.0.0.1,23693,80,35,UDP,0.34027154576807295
203.0.113.7,10.0.0.1,37928,80,110,UDP,0.3404443370752378
203.0.113.7,10.0.0.1,48540,80,89,UDP,0.3408238224488787
203.0.113.4,10.0.0.1,37346,80,46,UDP,0.34186759959936225
203.0.113.9,10.0.0.1,50958,80,57,UDP,0.3431958643068484
203.0.113.3,10.0.0.1,4620,80,42,UDP,0.34415539162749714
203.0.113.3,10.0.0.1,42480,80,49,UDP,0.3454194379494356
203.0.113.4,10.0.0.1,15310,80,35,UDP,0.34729366903615905
203.0.113.2,10.0.0.1,47993,80,56,UDP,0.34768505563247964
203.0.113.6,10.0.0.1,7032,80,103,UDP,0.34884277804572966
203.0.113.5,10.0.0.1,51691,80,52,UDP,0.3497198691880748
203.0.113.5,10.0.0.1,3021,80,96,UDP,0.35105709531313134
203.0.113.3,10.0.0.1,5656,80,88,UDP,0.3520393701963031
203.0.113.7,10.0.0.1,60602,80,106,UDP,0.35285887286297246
203.0.113.4,10.0.0.1,50692,80,38,UDP,0.3543415437895183
203.0.113.6,10.0.0.1,35269,80,98,UDP,0.3551382965674682
203.0.113.1,10.0.0.1,33462,80,71,UDP,0.3567283237254401
203.0.113.7,10.0.0.1,27465,80,59,UDP,0.35820717049559125
203.0.113.1,10.0.0.1,38286,80,39,UDP,0.3588482932847459
203.0.113.9,10.0.0.1,6333,80,102,UDP,0.3595437762350392
203.0.113.2,10.0.0.1,28326,80,106,UDP,0.3602731421867763
203.0.113.4,10.0.0.1,52188,80,48,UDP,0.3610087358335393
203.0.113.3,10.0.0.1,23738,80,38,UDP,0.3615734113109518
203.0.113.4,10.0.0.1,44052,80,100,UDP,0.36316095584771074
203.0.113.7,10.0.0.1,6527,80,64,UDP,0.3643812464580563
203.0.113.4,10.0.0.1,1796,80,105,UDP,0.3658345104749079
203.0.113.5,10.0.0.1,47822,80,102,UDP,0.36663354855095465
203.0.113.7,10.0.0.1,26218,80,54,UDP,0.3676012178152448
203.0.113.7,10.0.0.1,36375,80,94,UDP,0.36806162148173294
203.0.113.5,10.0.0.1,18442,80,45,UDP,0.3698161378932831
203.0.113.3,10.0.0.1,46950,80,33,UDP,0.3706382037763124
203.0.113.8,10.0.0.1,9834,80,33,UDP,0.3717441052164188
203.0.113.9,10.0.0.1,2100,80,82,UDP,0.37288428223316755
203.0.113.5,10.0.0.1,21633,80,63,UDP,0.3733707088138879
203.0.113.9,10.0.0.1,12474,80,98,UDP,0.374440680108193
203.0.113.9,10.0.0.1,2778,80,116,UDP,0.3754771248962864
203.0.113.3,10.0.0.1,50934,80,121,UDP,0.3772772493078024
203.0.113.9,10.0.0.1,29527,80,35,UDP,0.3788019694754565
203.0.113.4,10.0.0.1,18668,80,89,UDP,0.37950539371845493
203.0.113.4,10.0.0.1,35847,80,109,UDP,0.3811893811265328
203.0.113.2,10.0.0.1,3466,80,98,UDP,0.3820931521020407
203.0.113.5,10.0.0.1,62826,80,120,UDP,0.3830013526697521
203.0.113.2,10.0.0.1,63980,80,91,UDP,0.3836929823998547
203.0.113.8,10.0.0.1,21451,80,92,UDP,0.3846078797095957
203.0.113.6,10.0.0.1,20922,80,54,UDP,0.38541731577438976
203.0.113.3,10.0.0.1,62203,80,52,UDP,0.38559310174674166
203.0.113.5,10.0.0.1,20069,80,127,UDP,0.38597831546729006
203.0.113.2,10.0.0.1,22070,80,58,UDP,0.3862881611065117
203.0.113.8,10.0.0.1,23415,80,53,UDP,0.3873203730026293
203.0.113.8,10.0.0.1,53166,80,98,UDP,0.387840895261751
